crsyr,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords,flow
1966,"Tepic, Nayarit","Mexicali, Baja California del Norte","Sacramento, CA ","(-104.894676, 21.5043446)","(-115.506256, 32.658421)","(-121.493895, 38.5810606)","LINESTRING (-104.894676 21.5043446, -115.506256 32.658421, -121.493895 38.5810606)"
1976,Nayarit,"Tijuana, Baja California del Norte","Orange County, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1978,"Santa María del Oro, Nayarit","Tijuana, Baja California del Norte","Orange County, CA ","(-104.6207827, 21.3773885)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-104.6207827 21.3773885, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1976,Nayarit,"Tijuana, Baja California del Norte","Orange County, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1984,Nayarit,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -118.1362299 33.760599)"
1977,"Morelia, Michoacán","Tijuana, Baja California del Norte","Orange County, CA ","(-101.1923818, 19.7027116)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-101.1923818 19.7027116, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1954,"Tuxpan, Nayarit","Mexicali, Baja California del Norte","San Diego, CA ","(-105.41975441728886, 21.99295325)","(-115.506256, 32.658421)","(-117.1627728, 32.7174202)","LINESTRING (-105.4197544172889 21.99295325, -115.506256 32.658421, -117.1627728 32.7174202)"
1989,Nayarit,"Tijuana, Baja California del Norte","Orange County, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1988,Nayarit,"Tijuana, Baja California del Norte","Riverside-San Bernardino, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-117.3455744, 34.0109957)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -117.3455744 34.0109957)"
1984,Nayarit,"Nogales, Sonora","Phoenix-Mesa, AZ ","(-104.87148535201122, 21.8438765)","(-108.9248649, 28.3713765)","(-111.6526441150196, 33.30591455)","LINESTRING (-104.8714853520112 21.8438765, -108.9248649 28.3713765, -111.6526441150196 33.30591455)"
1970,Nayarit,"Tijuana, Baja California del Norte","Ventura, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-119.0779359, 34.4458248)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -119.0779359 34.4458248)"
1972,"Santa María del Oro, Nayarit","Mexicali, Baja California del Norte","Fresno, CA ","(-104.6207827, 21.3773885)","(-115.506256, 32.658421)","(-119.7848307, 36.7394421)","LINESTRING (-104.6207827 21.3773885, -115.506256 32.658421, -119.7848307 36.7394421)"
1969,Nayarit,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -118.1362299 33.760599)"
1988,Nayarit,"Tijuana, Baja California del Norte","Fresno, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-119.7848307, 36.7394421)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -119.7848307 36.7394421)"
1984,"Morelia, Michoacán","Tijuana, Baja California del Norte","Merced, CA ","(-101.1923818, 19.7027116)","(-117.0412813, 32.5132984)","(-120.7678602, 37.1641544)","LINESTRING (-101.1923818 19.7027116, -117.0412813 32.5132984, -120.7678602 37.1641544)"
1985,", Hidalgo","Tijuana, Baja California del Norte","San Jose, CA ","(-108.7598468, 31.801493)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-108.7598468 31.801493, -117.0412813 32.5132984, -121.890583 37.3361905)"
1989,"Santa María del Oro, Nayarit","Tijuana, Baja California del Norte","Orange County, CA ","(-104.6207827, 21.3773885)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-104.6207827 21.3773885, -117.0412813 32.5132984, -117.8704931 33.7500378)"
