crsyr,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords,flow
1983.0,La Unión,"Matamoros, Tamaulipas","New York, NY ","(-87.83965180439486, 13.337567199999999)","(-97.5017951, 25.8520977)","(-74.0060152, 40.7127281)","LINESTRING (-87.83965180439486 13.3375672, -97.5017951 25.8520977, -74.00601519999999 40.7127281)"
1991.0,La Unión,"Tijuana, Baja California del Norte","New York, NY ","(-87.83965180439486, 13.337567199999999)","(-117.0412813, 32.5132984)","(-74.0060152, 40.7127281)","LINESTRING (-87.83965180439486 13.3375672, -117.0412813 32.5132984, -74.00601519999999 40.7127281)"
1982.0,La Unión,"Matamoros, Tamaulipas","Houston, TX ","(-87.83965180439486, 13.337567199999999)","(-97.5017951, 25.8520977)","(-95.3676974, 29.7589382)","LINESTRING (-87.83965180439486 13.3375672, -97.5017951 25.8520977, -95.3676974 29.7589382)"
1977.0,San Miguel,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-88.17722, 13.4803899)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-88.17722000000001 13.4803899, -117.0412813 32.5132984, -118.1362299 33.760599)"
1999.0,San Miguel,"Piedras Negras, Coahuila de Zaragoza","Atlanta, GA ","(-88.17722, 13.4803899)","(-100.5267104, 28.6998135)","(-84.3902644, 33.7489924)","LINESTRING (-88.17722000000001 13.4803899, -100.5267104 28.6998135, -84.39026440000001 33.7489924)"
1982.0,La Unión,"Matamoros, Tamaulipas","Houston, TX ","(-87.83965180439486, 13.337567199999999)","(-97.5017951, 25.8520977)","(-95.3676974, 29.7589382)","LINESTRING (-87.83965180439486 13.3375672, -97.5017951 25.8520977, -95.3676974 29.7589382)"
